feature,in_train,in_test_original,added_to_test,fill_strategy,train_dtype,test_dtype_aligned,test_nan_count_aligned
sanlc2022_pct_commercial_annual_crops_pivot_irrigated,True,True,False,none,float64,float64,0
sanlc2022_pct_commercial_annual_crops_rain_fed___dryland,True,True,False,none,float64,float64,0
sanlc2022_pct_fallow_land_&_old_fields_(grass),True,True,False,none,float64,float64,0
sanlc2022_pct_roads_&_rails_(major_linear),True,True,False,none,float64,float64,0
sanlc2022_pct_fallow_land_&_old_fields_(wetlands),True,True,False,none,float64,float64,0
sanlc2022_pct_open_&_sparse_plantation_forest,True,True,False,none,float64,float64,0
sanlc2022_pct_natural_pans_(flooded_@_observation_times),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_artificial_sewage_ponds,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_dry_pans,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_commercial_annual_crops_non_pivot_irrigated,True,True,False,none,float64,float64,0
sanlc2022_pct_fallow_land_&_old_fields_(trees),True,True,False,none,float64,float64,0
sanlc2022_pct_fallow_land_&_old_fields_(bush),True,True,False,none,float64,float64,0
sanlc2022_pct_residential_formal_(tree),True,True,False,none,float64,float64,0
sanlc2022_pct_residential_formal_(bush),True,True,False,none,float64,float64,0
sanlc2022_pct_residential_formal_(low_veg___grass),True,True,False,none,float64,float64,0
sanlc2022_pct_residential_formal_(bare),True,True,False,none,float64,float64,0
sanlc2022_pct_residential_informal_(tree),True,True,False,none,float64,float64,0
sanlc2022_pct_residential_informal_(bush),True,True,False,none,float64,float64,0
sanlc2022_pct_residential_informal_(low_veg___grass),True,True,False,none,float64,float64,0
sanlc2022_pct_residential_informal_(bare),True,True,False,none,float64,float64,0
sanlc2022_pct_industrial,True,True,False,none,float64,float64,0
sanlc2022_pct_temporary_unplanted_(clear_felled)_plantation_forest,True,True,False,none,float64,float64,0
sanlc2022_pct_urban_recreational_fields_(tree),True,True,False,none,float64,float64,0
sanlc2022_pct_urban_recreational_fields_(bush),True,True,False,none,float64,float64,0
sanlc2022_pct_urban_recreational_fields_(grass),True,True,False,none,float64,float64,0
sanlc2022_pct_urban_recreational_fields_(bare),True,True,False,none,float64,float64,0
sanlc2022_pct_commercial,True,True,False,none,float64,float64,0
sanlc2022_pct_village_dense_(bare_&_low_veg___grass_combo),True,True,False,none,float64,float64,0
sanlc2022_pct_fallow_land_&_old_fields_(low_shrub),True,True,False,none,float64,float64,0
"sanlc2022_pct_mines:_extraction_pits,_quarries",True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_cultivated_commercial_permanent_orchards,True,True,False,none,float64,float64,0
sanlc2022_pct_cultivated_commercial_permanent_vines,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_low_shrubland_(succulent_karoo),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_smallholdings_(tree),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_smallholdings_(bush),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_smallholdings_(low_veg___grass),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_eroded_lands,True,True,False,none,float64,float64,0
sanlc2022_pct_low_shrubland_(fynbos),True,True,False,none,float64,float64,0
sanlc2022_pct_fallow_land_&_old_fields_(bare),True,True,False,none,float64,float64,0
sanlc2022_pct_smallholdings_(bare),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_artificial_flooded_mine_pits,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_land_fills,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_subsistence___small_scale_annual_crops,True,True,False,none,float64,float64,0
sanlc2022_pct_low_shrubland_(nama_karoo),True,True,False,none,float64,float64,0
sanlc2022_pct_contiguous_(indigenous)_forest,True,True,False,none,float64,float64,0
sanlc2022_pct_cultivated_commercial_sugarcane_non_pivot,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_cultivated_emerging_farmer_sugarcane_non_pivot,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_contiguous_low_forest_&_thicket,True,True,False,none,float64,float64,0
sanlc2020_pct_dense_forest_&_woodland,True,True,False,none,float64,float64,0
sanlc2020_pct_open_woodland,True,True,False,none,float64,float64,0
sanlc2020_pct_low_shrubland_(other),True,True,False,none,float64,float64,0
sanlc2020_pct_sparsely_wooded_grassland,True,True,False,none,float64,float64,0
sanlc2020_pct_natural_grassland,True,True,False,none,float64,float64,0
sanlc2020_pct_natural_rivers,True,True,False,none,float64,float64,0
sanlc2020_pct_herbaceous_wetlands_(currently_mapped),True,True,False,none,float64,float64,0
sanlc2020_pct_natural_rock_surfaces,True,True,False,none,float64,float64,0
sanlc2020_pct_bare_riverbed_material,True,True,False,none,float64,float64,0
sanlc2020_pct_other_bare,True,True,False,none,float64,float64,0
sanlc2020_pct_village_scattered_(bare_&_low_veg__grass_combo),True,True,False,none,float64,float64,0
sanlc2020_pct_contiguous_&_dense_plantation_forest,True,True,False,none,float64,float64,0
sanlc2020_pct_open_&_sparse_plantation_forest,True,True,False,none,float64,float64,0
sanlc2020_pct_artificial_dams_(including_canals),True,True,False,none,float64,float64,0
sanlc2020_pct_herbaceous_wetlands_(previously_mapped),True,True,False,none,float64,float64,0
sanlc2020_pct_commercial_annual_crops_pivot_irrigated,True,True,False,none,float64,float64,0
sanlc2020_pct_commercial_annual_crops_rain_fed___dryland,True,True,False,none,float64,float64,0
sanlc2020_pct_fallow_land_&_old_fields_(trees),True,True,False,none,float64,float64,0
sanlc2020_pct_fallow_land_&_old_fields_(grass),True,True,False,none,float64,float64,0
sanlc2020_pct_roads_&_rails_(major_linear),True,True,False,none,float64,float64,0
sanlc2020_pct_fallow_land_&_old_fields_(wetlands),True,True,False,none,float64,float64,0
sanlc2020_pct_natural_pans_(flooded_@_observation_times),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_artificial_sewage_ponds,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_dry_pans,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_commercial_annual_crops_non_pivot_irrigated,True,True,False,none,float64,float64,0
sanlc2020_pct_fallow_land_&_old_fields_(bush),True,True,False,none,float64,float64,0
sanlc2020_pct_residential_formal_(bush),True,True,False,none,float64,float64,0
sanlc2020_pct_residential_formal_(low_veg___grass),True,True,False,none,float64,float64,0
sanlc2020_pct_residential_formal_(bare),True,True,False,none,float64,float64,0
sanlc2020_pct_residential_informal_(tree),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_residential_informal_(low_veg___grass),True,True,False,none,float64,float64,0
sanlc2020_pct_residential_informal_(bare),True,True,False,none,float64,float64,0
sanlc2020_pct_temporary_unplanted_(clear_felled)_plantation_forest,True,True,False,none,float64,float64,0
sanlc2020_pct_residential_formal_(tree),True,True,False,none,float64,float64,0
sanlc2020_pct_urban_recreational_fields_(tree),True,True,False,none,float64,float64,0
sanlc2020_pct_urban_recreational_fields_(bush),True,True,False,none,float64,float64,0
sanlc2020_pct_urban_recreational_fields_(grass),True,True,False,none,float64,float64,0
sanlc2020_pct_urban_recreational_fields_(bare),True,True,False,none,float64,float64,0
sanlc2020_pct_commercial,True,True,False,none,float64,float64,0
sanlc2020_pct_industrial,True,True,False,none,float64,float64,0
sanlc2020_pct_village_dense_(bare_&_low_veg___grass_combo),True,True,False,none,float64,float64,0
"sanlc2020_pct_mines:_extraction_pits,_quarries",True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_fallow_land_&_old_fields_(low_shrub),True,True,False,none,float64,float64,0
sanlc2020_pct_cultivated_commercial_permanent_orchards,True,True,False,none,float64,float64,0
sanlc2020_pct_cultivated_commercial_permanent_vines,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_low_shrubland_(succulent_karoo),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_smallholdings_(tree),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_smallholdings_(bush),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_smallholdings_(low_veg___grass),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_eroded_lands,True,True,False,none,float64,float64,0
sanlc2020_pct_low_shrubland_(fynbos),True,True,False,none,float64,float64,0
sanlc2020_pct_residential_informal_(bush),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_smallholdings_(bare),True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_artificial_flooded_mine_pits,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_land_fills,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_subsistence___small_scale_annual_crops,True,True,False,none,float64,float64,0
sanlc2020_pct_low_shrubland_(nama_karoo),True,True,False,none,float64,float64,0
sanlc2020_pct_fallow_land_&_old_fields_(bare),True,True,False,none,float64,float64,0
sanlc2020_pct_contiguous_(indigenous)_forest,True,True,False,none,float64,float64,0
sanlc2020_pct_cultivated_commercial_sugarcane_non_pivot,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_cultivated_emerging_farmer_sugarcane_non_pivot,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_mine:_tailings_and_resource_dumps,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_natural_estuaries_&_lagoons,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2022_pct_cultivated_commercial_sugarcane_pivot_irrigated,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_mine:_tailings_and_resource_dumps,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_natural_estuaries_&_lagoons,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
sanlc2020_pct_cultivated_commercial_sugarcane_pivot_irrigated,True,False,True,zero_fill_sanlc_absent_class,float64,float64,0
worldpop_sum_1km,True,True,False,none,float64,float64,0
worldpop_mean_1km,True,True,False,none,float64,float64,0
worldpop_max_1km,True,True,False,none,float64,float64,0
worldpop_sum_5km,True,True,False,none,float64,float64,0
worldpop_mean_5km,True,True,False,none,float64,float64,0
worldpop_max_5km,True,True,False,none,float64,float64,0
basin_upstream_area_km2,True,True,False,none,float64,float64,0
basin_population,True,True,False,none,float32,float32,0
basin_agriculture_pct,True,True,False,none,int16,int16,0
basin_slope_deg,True,True,False,none,int16,int16,0
river_avg_discharge_cms,True,True,False,none,float32,float32,0
river_order,True,True,False,none,int16,int16,0
river_upstream_area_km2,True,True,False,none,float32,float32,0
distance_to_river_m,True,True,False,none,float64,float64,0
river_width_m,True,True,False,none,float64,float64,0
