feature,in_train,in_test_original,added_to_test,fill_strategy,train_dtype,test_dtype_aligned,test_nan_count_aligned
soil_phh2o_mean_0_5cm_mean_1km,True,True,False,none,float64,float64,0
soil_phh2o_mean_0_5cm_std_1km,True,True,False,none,float64,float64,0
soil_phh2o_mean_0_5cm_mean_5km,True,True,False,none,float64,float64,0
soil_phh2o_mean_0_5cm_std_5km,True,True,False,none,float64,float64,0
soil_clay_mean_0_5cm_mean_1km,True,True,False,none,float64,float64,0
soil_clay_mean_0_5cm_std_1km,True,True,False,none,float64,float64,0
soil_clay_mean_0_5cm_mean_5km,True,True,False,none,float64,float64,0
soil_clay_mean_0_5cm_std_5km,True,True,False,none,float64,float64,0
soil_sand_mean_0_5cm_mean_1km,True,True,False,none,float64,float64,0
soil_sand_mean_0_5cm_std_1km,True,True,False,none,float64,float64,0
soil_sand_mean_0_5cm_mean_5km,True,True,False,none,float64,float64,0
soil_sand_mean_0_5cm_std_5km,True,True,False,none,float64,float64,0
soil_silt_mean_0_5cm_mean_1km,True,True,False,none,float64,float64,0
soil_silt_mean_0_5cm_std_1km,True,True,False,none,float64,float64,0
soil_silt_mean_0_5cm_mean_5km,True,True,False,none,float64,float64,0
soil_silt_mean_0_5cm_std_5km,True,True,False,none,float64,float64,0
soil_organic_carbon_mean_0_5cm_mean_1km,True,True,False,none,float64,float64,0
soil_organic_carbon_mean_0_5cm_std_1km,True,True,False,none,float64,float64,0
soil_organic_carbon_mean_0_5cm_mean_5km,True,True,False,none,float64,float64,0
soil_organic_carbon_mean_0_5cm_std_5km,True,True,False,none,float64,float64,0
soil_cec_mean_0_5cm_mean_1km,True,True,False,none,float64,float64,0
soil_cec_mean_0_5cm_std_1km,True,True,False,none,float64,float64,0
soil_cec_mean_0_5cm_mean_5km,True,True,False,none,float64,float64,0
soil_cec_mean_0_5cm_std_5km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Water_1km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Agriculture_1km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Urban_1km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Mining_1km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Natural_1km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Water_5km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Agriculture_5km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Urban_5km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Mining_5km,True,True,False,none,float64,float64,0
sanlc2022_pct_Macro_Natural_5km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Water_1km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Agriculture_1km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Urban_1km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Mining_1km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Natural_1km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Water_5km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Agriculture_5km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Urban_5km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Mining_5km,True,True,False,none,float64,float64,0
sanlc2020_pct_Macro_Natural_5km,True,True,False,none,float64,float64,0
worldpop_sum_1km,True,True,False,none,float64,float64,0
worldpop_mean_1km,True,True,False,none,float64,float64,0
worldpop_max_1km,True,True,False,none,float64,float64,0
worldpop_sum_5km,True,True,False,none,float64,float64,0
worldpop_mean_5km,True,True,False,none,float64,float64,0
worldpop_max_5km,True,True,False,none,float64,float64,0
basin_upstream_area_km2,True,True,False,none,float64,float64,0
basin_population,True,True,False,none,float32,float32,0
basin_agriculture_pct,True,True,False,none,int16,int16,0
basin_slope_deg,True,True,False,none,int16,int16,0
river_avg_discharge_cms,True,True,False,none,float32,float32,0
river_order,True,True,False,none,int16,int16,0
river_upstream_area_km2,True,True,False,none,float32,float32,0
distance_to_river_m,True,True,False,none,float64,float64,0
river_width_m,True,True,False,none,float64,float64,0
osm_dist_nearest_mine,True,True,False,none,float64,float64,0
osm_mine_area_perc_1km,True,True,False,none,float64,float64,0
osm_mine_area_perc_5km,True,True,False,none,float64,float64,0
osm_dist_nearest_farm,True,True,False,none,float64,float64,0
osm_farm_area_perc_1km,True,True,False,none,float64,float64,0
osm_farm_area_perc_5km,True,True,False,none,float64,float64,0
osm_dist_nearest_road,True,True,False,none,float64,float64,0
osm_road_length_m_1km,True,True,False,none,float64,float64,0
osm_road_length_m_5km,True,True,False,none,float64,float64,0
osm_dist_nearest_wastewater,True,True,False,none,float64,float64,0
osm_wastewater_count_1km,True,True,False,none,int64,int64,0
osm_wastewater_count_5km,True,True,False,none,int64,int64,0
